initialSupply,1E+24,,1E+24,,1E+24,,1E+24,,1E+24,,1E+24,,1E+24,,1E+24,,1E+24,,1E+24,,1E+24,,1E+24,,1E+24,,1E+24,,1E+24,,1E+24,
id,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,26,,27,,29,,30,,31,,32,
address,0x7e5f14b0910abd7b361d2df7770a5aa3a853ef59,,0x9431992525510a6852E82Fc1fb908daa0fe5fFCB,,0x5ac15459f86b40234886d3a849c5c05350cbc728,,0xB3eb5b872B31Df7baC73472f79b0d4Ac98f2A357,,0x32c18a134ae970ebac5e68a616abd6f8600bf581,,0x502527431B8F5d3cDE71569ea810d19441952B48,,0x57D2F0F2f40ef3acBFfbAd33EBf08E6389A25863,,0x621457D175Ef4f6AA1e8a62D5Ba2C62D62985f58,,0x269237ac2e66a54688bd113230718fd0e2cf0470,,0x2199ff95d6c9c7649724f781d948049f815edd03,,0x5D10F7bbbFB506De47A3e4C16A80b97EB2818b5c,,0x0e7580376ff927fefc5666ec486f1683fd4c5fc7,,0xCed8bfE934FB2C5937a8F65b1217E5e429165309,,0x8a31180c0eabcc747a32aaa3b1edef50e96bfd42,,0x654e0780777e2326193f5cda06a0b4d4dbb3a942,,0x80173fd91dfafce414f58fc44d5683e54bb143dc,
symbol,BRIAN,,GRACE,,KATY,,H3IDI,,ANTIMO,,TED,,TLDR,,SIRSU,,SAM,,PURP,,DANNY,,CAM,,SIMP,,KARO,,CHMQT,,DURKEN,
name,BrianToken,,GraceToken,,KatyToken,,H3idiToken,,AntimoToken,,TedToken,,tldrToken,,SirsuToken,,SamToken,,PurpToken,,Danny,,CameronUnlonelyToken,,SimpUnlonelyToken,,KaroUnlonelyToken,,ChamaquitoUnlonelyToken,,DurkenUnlonelyToken,
price,0.0006,,0.0005,,0.000625,,0.000525,,0.0005,,0.000625,,0.0006,,0.000625,,0.0006,,0.000625,,0.000475,,0.000625,,0.0005,,0.0006,,0.000625,,0.000575,
channelId,3,,15,,9,,5,,20,,27,,17,,25,,21,,37,,29,,32,,49,,48,,44,,43,
,holder address,amount,holder address,amount,holder address,amount,holder address,amount,holder address,amount,holder address,amount,holder address,amount,holder address,amount,holder address,amount,holder address,amount,holder address,amount,holder address,amount,holder address,amount,holder address,amount,holder address,amount,holder address,amount
,0x141edb16c70307cf2f0f04af2dda75423a0e1bea,"507,573.00",0x6db4d0682d7d7bb68bd00c774dbdd05b91925c13,"999,895",0x32bea430631db4e416900db332f5431d265a954a,"999,693",0xbbfe4aa855ab66a3414904f0d510b083485bcc84,"999,906",0xfa922ce609fed47950e3f48662c9651d42ada194,"999,973",0x0aa34eb615ab330b64060ff9fa994e72a7a95b59,"998,193",0x7ad252facf5f1115b22ea0a4d63e8770573d78a2,"999,915",0xeb95ff72eab9e8d8fdb545fe15587accf410b42e,"999,875",0xd5b472ffaf39476f83b8975667169ab6f9216dcd,"999,923",0xa58b4a80de82b889ff40e487c58208a429c77f88,"984,413.00",0x34Bb9e91dC8AC1E13fb42A0e23f7236999e063D4,1000000,0x19ce57b670121e73e43be6c2fea5c254bb4c8760,"999,627",0xaf153e755f59bb62ba8a5b7e5ffdb71c0ac43305,"999,807",0xbc3701dc3b342fc9e9bfa92b0aee6f3cbc468de2,"999,820",0xb97a251df2672b0e252b28a96857a8ace9929ccc,"999,938",0xeee47759561f8754b555e85e903d0b245fe7ea1f,"999,950"
,0x1a7eeb35a5aebf56b80d324a34b049c8e3248acc,"483,414.50",0x141edb16c70307cf2f0f04af2dda75423a0e1bea,35,0xab31845fe146b8fc8bb3c102ced7293eaee19ffd,55,0x141edb16c70307cf2f0f04af2dda75423a0e1bea,35,0x6db4d0682d7d7bb68bd00c774dbdd05b91925c13,10,0xdf37c3e9bd198a679f72bbac53946b27bad3064f,"1,250",0xfa922ce609fed47950e3f48662c9651d42ada194,25,0xed727248627fda303a1794f5da747215b6314330,59,0x1a1c37c145a1eab58c43f003ebb55c18083b5987,25,0xf29752b32611c0289b70b5ff959378653012c221,"12,600",,,0x64ff33b653b26edcb4644e27d3720f3c653f8371,50,0xefd29083e539ba1ca2244a6043d6d2c7d94f9a9b,69,0x61da82d341141dbafc8b536eedb23e7d83496c7c,49,0xa58b4a80de82b889ff40e487c58208a429c77f88,23,0x141edb16c70307cf2f0f04af2dda75423a0e1bea,50
,0x6db4d0682d7d7bb68bd00c774dbdd05b91925c13,"4,400",0x179a862703a4adfb29896552df9e307980d19285,15,0xf31346b1e7b28b6f55b27275868a748702b9b8a8,50,0xb439321c48551fa0bf0262acfb7e72993e8c59eb,25,0x7ad252facf5f1115b22ea0a4d63e8770573d78a2,10,0x58d205f9d265399f5e68b783162d9508c0469bdf,150,0x141edb16c70307cf2f0f04af2dda75423a0e1bea,25,0x333d0ebc54707c0a9d92cac749b3094c28a0e111,25,0xfa922ce609fed47950e3f48662c9651d42ada194,25,0x78bae387313a2168983f5a2a30fecec80853a7f1,"1,066.94",,,0x3dedb545e9b89f63fa71ab75497735d802c9d26f,50,0xd0f46a5d48596409264d4efc1f3b229878fff743,69,0xaec8c478446bddc2d022a03c90ca394269342ce2,27,0x141edb16c70307cf2f0f04af2dda75423a0e1bea,13,,
